,uid,scenario,label
0,3055,not liking my foster dog,-1
1,3060,not giving my co-worker a ride home and help her carry a cupboard for 10 euros,-1
2,3062,not wanting to tell anyone when my wife goes into labor,0
3,3058,not wanting to forgive a (former) friend,-1
4,3061,not wanting to throw a huge and expensive party for my daughter's first birthday,0
5,3070,'ruining' a project because Koreans find it offensive,1
6,3065,not telling my friend I've started seeing a mutual friend,-1
7,3068,not wanting to enable my grandparents hurting themselves,-1
8,3064,not talking to my parents because they are using me... but being ?! maybe I'm the bitch... tell me please,-1
9,3063,making a (decent) divorce joke in front of my friend with recently divorced parents,-1
10,3066,ending a friendship after he made a joke I didn't find funny,-1
11,3069,wanting to split the Bill on a first date,0
12,3067,wanting to cut ties with my friends,-1
13,5311,asking my wife to ask my mother in law to apologize to me,0
14,5322,sending a friend of a friend out of my house and rage at him when he puked in my house while we're stoned. and not offering my couch if he couldn't come home,-1
15,5312,blowing off my girlfriend and her parents for lunch,-1
16,5315,taking my nephew to a prostitute behind his parents' back,-1
17,5320,making sure my group members don't get credit for a project they didn't do,1
18,5323,reporting a classmate for cheating,0
19,5319,having beef with my grandma when she hasn't really wronged me specifically,-1
20,5324,"suggesting that my grandfather should know that he has alzheimer and parkinson, and that euthanasia is an option if he so wants it",1
21,3086,telling my friend's parents about her relationship as revenge,-1
22,3085,asking my mom to pay for a missing item in a parcel she signed for,-1
23,3081,telling a 28 year old woman she doesn't get a birthday week,0
24,3082,being a little pouty because my brother won't pick me up from my train,-1
25,3083,wanting to cut ties with my close friend of 4 years because I don't want to deal with his drama anymore,-1
26,3084,refusing to help my brother collect chopped wood,-1
27,3088,believing that my mom is trying to guilt me into pleading the fifth,-1
28,3087,telling my boyfriends parents he used an egg donor,-1
29,5338,"demanding my gf, who has never lived on her own, to live on her own first before I move in with her",-1
30,5343,leaving a server because of a prank and then rejoining,0
31,5336,being concerned about one of my roommate's cat,1
32,5339,telling my best friend's parents about something she didn't want to talk about,-1
33,5344,switching obese people's drink at McDonald's,-1
34,5345,feeling more of a connection to one dog and not the other,-1
35,5341,not wanting my bf's dad to stay at our studio apt,-1
36,3101,throwing my girlfriend under the bus to help someone else,-1
37,3105,potentially ending a friendship impulsively,-1
38,3097,not helping my middle school aged child with a school project,-1
39,3098,avoiding one of my gf's dogs because I think it has pink eye,0
40,3100,being upset about my parents financial choices,-1
41,3099,helping other people with it issues,1
42,3104,wanting to kick my ex off my family plan,-1
43,3102,not giving my professor's email to my classmate who had incurred absence because of medical reasons,-1
44,5350,calling out a customer,-1
45,5351,giving my roommate 2 weeks to get a job or move the fuck out,-1
46,5357,confronting a lesbian mother about her daughter's sex ed,0
47,5353,not caring if my ex-wife will not get her medication paid for by the state,-1
48,5346,telling an homeless that Jesus does not help him,-1
49,5352,asking my mom to drop my friend off when she was picking me up,0
50,5358,not wanting to plan/heavily participate in a second baby shower,-1
51,3107,calling my stepfather 'daddy' instead of 'dad' to purposefully make him uncomfortable,-1
52,3112,not visiting my sick uncle,-1
53,3111,thinking my dads new relationship is gross,-1
54,3110,telling my parents about my younger brothers binge drinking,1
55,3113,not helping my brother out while he's going through a divorce,-1
56,3108,checking out other (animated) girls with my boyfriend next to me,-1
57,3116,pointing out my friend's blackheads,-1
58,3120,admitting I love my own child more than my girlfriend's children,-1
59,3122,being pissed at BIL for refusing to help,-1
60,3119,lying to my dad about loving him,1
61,3115,getting mad at my dad for locking me outside,-1
62,3121,"being angry at my parents for not rejecting me because of previous actions, despite me seeking help for my mental issues",-1
63,3118,resenting my dad after he got remarried on my birthday and essentially disregards it every year since,-1
64,3117,not caring if me and my parents don't talk for 20 years,-1
65,5363,distancing myself from a male friend who won't take 'no' for an answer,1
66,5359,not making it to my boyfriend's surgery,-1
67,5369,not wanting my father to text me every single day,-1
68,5368,saying my girlfriend will give her son anxiety,-1
69,5364,refusing to watch over my dad's (and childhood) dog during his vacation,-1
70,5367,being angry about the way my father has divided his will,-1
71,3128,helping my sister get her cat back,1
72,3127,thinking my parents scammed me,-1
73,3123,not answering the door when my parents visit,-1
74,3126,wanting my boyfriend to temporarily stop drinking,1
75,3130,telling my brother take control of his life and leave his girlfriend,-1
76,3125,disowning my parents,-1
77,3129,yelling at my mother,-1
78,3124,not giving my friend rent money,-1
79,5390,spending most of my time with my boyfriend,1
80,5381,being annoyed that my parents let my vegan son try cheese and for not letting him try animal products,-1
81,5380,wanting my girlfriend to stop looking through unsecured cameras,0
82,5388,embarrassing my vegan brother over his actions at my party which he said he was not coming to,-1
83,5386,falling out with my brother over his repeated use of my things when I've told him not to mess around with them,-1
84,3152,lying to my friend about not being in an abusive relationship with her brother and then ending the friendship because she was related to him,-1
85,3155,not wanting to be my little brothers 'parent',-1
86,3148,not wanting my child to learn about horse racing,0
87,3150,getting mad that my girlfriend won't stand up to her parents,-1
88,3151,not wanting a second child due to Autism,-1
89,3153,coming out to my extended family even though my parents don't want me to,0
90,3149,fighting with my mom constantly,-1
91,3154,not accepting my brother's apology,-1
92,3164,fucking losing it with my dad,-1
93,3160,wanting a sincere apology,1
94,3163,'threatening' to end a close friendship with said friend being severely depressed,-1
95,3159,cutting one of my long-term friends out of my life completely,-1
96,3166,essentially rejecting a black woman because she didn't belong to my culture,-1
97,3173,helping my dad by breaking into my old home to get my dad his moms rocking chair,-1
98,3171,refusing g to give my niece in law free reading lessons,-1
99,3168,ghosting my friend out of the blue and lying about why,-1
100,3170,telling my mother to return a purchase,0
101,3169,"not ever wanting kids not just because of how stressful the life of a parent is, but because I know I'd never be a happy person and would never really love them",-1
102,3165,refusing to live in the same apartament building as my parents,-1
103,3167,"not wanting to work with my dad today, given that the entire city is closed down and the place where I work should also be",0
104,7637,feeling a friendship wasn't being fair towards me,0
105,7634,telling a friend they shouldnt get a dog,-1
106,7639,disrespecting my parents' rules regarding my relationship,-1
107,7640,not wanting to listen to my loved one explain something they're interested in,-1
108,7636,not wanting a relationship with my biological father,-1
109,7635,feeling somehow upset because my mom is supportive enough to sit besides me 24*7 when I study,-1
110,7633,wanting to break it off with my girlfriend for allowing her anxiety to drive a wedge between us,-1
111,7638,not doing the dishes,-1
112,5452,telling my friends parents about her boyfriend they don't know about,-1
113,5454,being pissed at my friends,-1
114,5456,hating my boyfriend's video game habits,-1
115,5462,not wanting to do volunteering for a competition with my class,-1
116,5457,"telling my brother the reason he is poor is because of our parents, in front of our parents",-1
