,uid,scenario,label
0,51609,i never want to love again.,-1
1,51610,I'm drowning and nobody knows,0
2,51601,Hanging out with friends is too much work,-1
3,51611,A friend is moving away for good,-1
4,51604,"My family is messed up, I just wanna vent.",-1
5,51608,I swish water in my mouth when my mom comes over so I don't say something nasty to her.,1
6,51602,GF and I are in different stages of our lives and it might break us apart.,1
7,51612,I have almost no drive to socialise,-1
8,51620,I impregnated my best friend 14 year old sister,-1
9,51621,My wife thinks I take our daughter to dancing classes but I actually take her to an MMA gym.,0
10,51616,I starve myself because I get made fun of on the internet,-1
11,51613,I feel like I need support on YouTube.,0
12,51622,Pooping in a public place.,-1
13,51619,"I think my mother has been abusing my siblings and I, and I can't tell anyone.",-1
14,51617,I got free phones from my cell phone job they never charged me for.,0
15,51615,"I'm the other woman, and now the girlfriend is pregnant.",0
16,49011,giving away my ps4 which had a save me and my friend worked hard on,0
17,49007,wearing glasses despite having good vision,-1
18,49014,having a phone call in the bus,-1
19,49006,not appreciating a family vacation,0
20,49015,wanting to override my brother's desire to not adopt a cat if the rest of the family wants one,-1
21,49013,wanting to kick my mom out of my house,-1
22,49008,comparing work conditions in other strip clubs with my boss,1
23,49009,writing off my co-worker,-1
24,49025,not wanting to meet my sisters boyfriend for the first time at my house,1
25,49021,walking out of my job without clocking out or telling anyone tl:dr at the bottom,0
26,49019,telling someone they should really use headphones in the gym,0
27,49024,hanging out in the bathroom at the airport,0
28,49017,telling my nephew if he hurts my daughter he'll be arrested,1
29,49023,not wanting to get married without a prenup,1
30,49027,breaking my own laptop that my brother hid under a pile of pillows,0
31,49026,anonymously turning in an underage drinker purely by rumor,0
32,51651,I hope my father is dead when I have my first daughter,-1
33,51655,"Me and my mate, made someone go to a journalist and have their story make news because of memes we made",0
34,51659,I Need a Job Soon but I Can’t Count Money,0
35,51658,I actively try not to go out in public in my town anymore,0
36,51652,Torn between going into the medical field and going into the performing arts industry...,0
37,51661,I think my airbnb hostess caught me checking her out when she was trying to help me. I feel bad.,-1
38,51654,I don't take my meds,-1
39,51656,"I don't have the money to look after my family, I cry most days because of it",0
40,46757,telling my best friend that she shouldn't be friends with an ex friend of ours again,-1
41,46758,not wanting to deal with my parents,-1
42,46764,breaking up with my depressed girlfriend,-1
43,46763,treating my mother with zero respect,-1
44,46759,not enjoying time with my family,-1
45,46765,not making more of an effort to be with my family,-1
46,46762,abandoning my crippled mother in law,-1
47,46761,not letting my sister move in,-1
48,46779,not interacting with my dad and grandma,0
49,46791,not wanting my uncle sleep on my bedroom,0
50,46787,skipping a family reunion,0
51,46790,insulting my boyfriend's mom on a facebook post,0
52,46780,wanting to move out regardless of how it impacts family,-1
53,46786,"not taking my mom to Orlando, which is one hour away on a good day, to go thrift store shopping",0
54,46793,not wanting to drive my gfs drunk parents,0
55,46782,not cleaning the common stairwell more often from my dogs hair,-1
56,51719,"I always see women complaining about other women wearing yoga pants in public. I never respond, but I want to say “Ladies! Don’t listen to her! Keep wearing yoga pants in public! I support you!”",0
57,51717,I get jealous when my friend is being friendly with my co workers,-1
58,51716,I'm Getting tired of my friend smoking,0
59,51721,I'm disappointed my brother survived,-1
60,49073,not wanting to go back to a local coffeehouse,0
61,49081,threatening to call the police on my brother in law,-1
62,49084,not wanting to visit my mentally abusing step mother,1
63,49079,not caring about my ex's family tragedy,0
64,49076,not giving my mother my back pay,0
65,49075,commenting on facebook to see if my dad was pretending I don't exist,-1
66,49074,going to family gatherings because my husband's shitty dad,-1
67,49077,making fun of someone else's dead family member,-1
68,49103,not wanting my younger brother to have his friends over,0
69,49104,getting frustrated with a waitress at my job for constantly singing,0
70,49098,not supporting a small business that donates to a cause,0
71,49107,taking advantage of a GrubHub coupon to get free food,0
72,49109,not getting a Christmas gift for my partners sister since she never reciprocates,0
73,49106,being frustrated with my manager,-1
74,49097,cancelling plans,-1
75,49108,being sad my brother is in a relationship,0
76,51787,"When I take public transit, and there's obviously no single seats left, I purposefully sit next to the person who has their bag on the seat next to them",-1
77,51780,I just ordered nunchucks cuz I've been watching Bruce lee fight scenes,0
78,51788,Scared I'll treat my children the same as my abusive mother did to us?,0
79,51775,"I told my boss my grandfather died to get a few days off, then he actually died about 2 weeks later",0
80,51784,I lie about myself,0
81,51785,Everytime I talk to my mom...,0
82,51786,My ex fiance passed away at 32.,0
83,51781,I have so much anger towards my mother and I don't know why,0
84,46873,jumping in between a group of girls and bunch of dudes fighting at a metal concert,-1
85,46865,asking if chefs at a restaurant could clean off the grill before making my food,1
86,46861,not wanting to forgive my brother & for backing out of a trip that has already been paid for,1
87,46869,not wanting to go to my GF's Sister's Birthday Dinner,-1
88,46867,clipping my nails at work,0
89,46871,wanting my collegue to stop eating in the workspace,-1
90,46860,not wanting to reconcile with father,1
91,46863,"telling a girl things don't work out after the third date, an hour after we had sex on that same date",0
92,51825,I got mycoplasma cleared up from my ex but there's still a cringe in me.. In finding someone new or feeling clean..,-1
93,51818,I cannot stop thinking about giving strangers BJ's.,-1
94,51820,"I haven't paid for my HBO account in almost 3 years, but it still works",0
95,51821,I Stand With 8Chan,0
96,51827,not sure who I am right now,0
97,51823,I love soggy cereal.,0
98,51824,"I'm sad and depressed, and I like it.",-1
99,51829,I work in IT and I purposely mess with my Grandma's computer just so I can see her smile when I fix it for her.,-1
100,51850,I’m jealous of my depressed sister,-1
101,51853,I don't think children should be shielded from the reality of humanity.,-1
102,51846,I have a serious problem...,1
103,51849,"I'm currently jobless and homeless, living on a strangers couch rent free temporarily. My friends and family don't know.",-1
104,51845,I lied multiple times to my sister for touching her stuff.,-1
105,51855,Just self harmed again after years of being clean,-1
106,51857,I stole an entire pound of inventory collectively working at a marijuana dispensary.,-1
107,51847,"The company I work for has to lay off 6 people due to Brexit, I've used social media to ensure all 6 getting made redundant voted for Brexit.",0
108,51879,I've made some of the biggest decisions of my life from lyrics I've heard in songs while driving to work.,-1
109,51882,I got the full time position I wanted,1
110,51878,I wedding I've been dreading to go to for over a year is finally happening in a couple weeks.,0
111,51876,I'm schizophrenic. I have no idea what to do.,-1
112,51872,I like my friends more than I like my parents,0
113,51884,I masterbated with my cousin all the time,-1
114,51875,4 years studying and still feel like I don't really know anything about my career,-1
115,51881,Missing opportunities with the company I’m interning for...,-1
116,51958,I Finally Cut My Toxic Best Friend Off,-1
117,51962,my wife family makes me angry,0
118,51953,I used to be a vicious little troll when I was younger,0
119,51955,I don't like my niece one bit.,-1
120,51959,The idea of having a family of my own sounds boring and terrible,-1
121,51966,Crossdressing with mom fantasy,-1
122,51954,I felt up my passed out brother in law,-1
123,51957,I lost a bet with my cousin and then cheated on the forfiet,-1
124,51970,"My husband, kids and in-laws think I'm at work, but I'm spending the day at the gym, alone with my computer, treadmill and healthy food.",1
125,51975,I would rather do literally anything other than go to work right now,0
126,51969,If I'm being honest...I hate my parents,0
127,51974,my family wants me to go to rehab but i honestly don’t have a drug problem.,-1
128,51973,I farted cake at a blind nun.,-1
129,51971,I Don't Use the Wrist Strap When Playing Wii Sports,-1
130,51967,I have legit illegal moonshiners in my family.,-1
131,51972,My brain makes wacky imaginary situations.,-1
132,46992,not feeling welcome at my fiances family Christmas gatherings,1
133,46986,not changing my daughter's diaper,0
134,46993,leaving my friends to swim the canoe to shore,-1
135,46997,telling my mum I don't love her,-1
136,46990,being visibly irritated at work,-1
137,46988,ordering a sandwich 10 minutes before a restaurant closes,1
138,46987,asking for my coffee to be fixed,-1
139,46994,getting upset at the fact that my bf wouldn't let me order what I wanted at brunch the other day,0
140,51976,I keep forgetting to bring clean underwear to change into after showering at the gym.,0
141,51977,My son is named Kyle and I'm terrified he's going to be the stigma.,-1
142,51982,Smashed a glass last night at a club,1
143,51978,"As my username says, what I actually thoroughly enjoy to read isn't as intelligent as what I read in public and at school",1
144,51979,I'm torn about family life,-1
145,51984,"Masturbated in the pool today using the jets, it was amazing!",0
146,51983,I've had a crush on my step aunt ever since I was a teenager.,0
147,51981,I use my company's corporate credit card points on Amazon.,-1
148,51985,I have a huge crush on the new guy at work...,0
149,51990,"When I worked in Chipotle as a cashier, I’d tip the bowl up when I placed it in a bag if the customer was rude to me.",0
150,51987,I’m sick of working my job cuz it makes me feel like a cardboard cutout of a person.,0
151,51991,I still resent my parents over the death of my dog,0
152,51992,Attracted to my brother's best friend,0
153,51989,anyone order fake ID from this website?,0
154,51986,I am actively trying to sabotage the relationship between my wife and her mom.,-1
155,51988,30 year old woman forever alone,0
156,51997,I resent my autistic brothers.,-1
157,51993,I don’t care about people stealing from my job,-1
158,52000,"I have 4 small children and I am disabled. We are surviving without electricity because I can't afford it. I wish there was someone in this world that have a care. Im at my breaking point. I don't know what to do,its getting to hard for us.",1
159,51995,Go caught kissing a married colleague at Christmas party,0
160,51998,I never want my girlfriend's dad to meet our children.,-1
161,51996,I think I crossdress because of my mother and I'm afraid to talk to her about it.,0
162,51994,I’m taking Subways advice and I am now eating fresh...,-1
163,51999,my childhood was stricken with trauma: my siblings and i became emotional shut-ins.,0
164,47036,not wanting my fiancé's little brother to move in with us,0
165,47028,"taking a trip to Peru, leaving wife and 3 kids at home",-1
166,47030,lying to my friend about how she changed her clothes,-1
167,47035,getting my Cousin grounded,0
168,47037,not purchasing alcohol for my father,1
169,47038,ignoring ny uncle,0
170,47031,not wanting to spend Christmas with my family,-1
171,47027,quitting a job without notice and enough time for her to find my replacement because my boss didn't pay on time,-1
172,47058,wanting to reach out to my half-siblings,1
173,47060,reporting my coworker for getting high in the middle of work,1
174,47057,wanting to break up with my gf after a steady 4 year relationship because she won't kiss me,-1
175,47052,pointing out her relationship with her brother is weird,0
176,47054,choosing to study for an state license exam instead of having dinner with gf family,1
177,47053,not hanging out with my boyfriend while he is currently 'running away' from his parents,-1
178,47062,not sharing my food with my family,-1
179,47059,getting angry at the phone rep,1
180,47076,telling my friend in prison it's ok to be gay for the stay,-1
181,49358,feeling no remorse or sympathy towards a depressed and (maybe) suicidal girl who cheated on my best friend three times,-1
182,49365,exposing an acquaintances for plagiarizing someone's work,1
183,49362,blocking my housemates devices from our broadband because he hasn't paid for months,1
184,49363,not allowing room service to clean my hotel room during my stay,-1
185,49371,wanting to work farther away from my girlfriend,0
186,49369,telling a classmate that they don't work hard enough,-1
187,49364,not caring about my parent's weddings,-1
188,49356,not wanting to be involved in raising a child from a one night stand,-1
189,49374,blocking my friend because he made fun of my autistic brother,1
190,49384,not wanting to visit my potentially-dying uncle in the hospital,-1
191,49373,not being able to have stability with friends,-1
192,49376,asking a woman not to play music out of her phone at work,0
193,49378,fighting with my partner over scrounger sister,-1
194,49386,not giving my mom more time to process my sister coming out,0
195,49372,not standing my aunt,-1
196,49382,snapping at my really negative cousin,0
197,49397,not wanting to go my bf's family christmas party,-1
198,49395,leaving my sis instead of ride sharing,-1
199,49396,wanting to visit my grandma on Christmas,1
200,49394,using curtain rod mounting hardware instead of command strips to hold up a heavy curtain,1
201,49393,leaving a restaurant because of family,0
202,49398,not even trying to get out of my apathy,-1
203,49390,getting angry at my mum over a pair of heels,-1
204,49388,thinking my peer at work is a control freak,-1
205,47118,not attending nieces birthday party,-1
206,47121,making my wife scrape the shit off her own boot,-1
207,47120,wanting to break up with my gf,-1
208,47117,refusing to let my unvaccinated cousins around my future children,0
209,47119,not making my girlfriend a drink,0
210,47122,ruining a chance of a promotion for a coworker,-1
211,47125,"not wanting to work in the medical field, despite my parents pushing me to",0
212,47124,not wanting to live with my in-laws,-1
213,47139,deleting ex-coworkers from Social Media,-1
214,47137,wanting a prenup strictly towards my government retirement,1
215,47140,not wanting to go on family holiday,0
216,47128,not letting my heroin addict brother stay at my apartment,1
217,47134,not trying to involve my parents in my life,-1
218,47142,telling my roommate his girlfriends little sister and her friend can't be in the apartment,-1
219,47131,thinking my family should diet with me,0
220,47138,not wanting to go to my family Christmas? tl;dr at bottom,0
221,52105,I HATE my body.,0
222,52103,I am a guy and I like twerking.,0
223,52099,I unknowingly shat myself at the gym and left a trail of destruction all over my local town.,-1
224,52107,I honestly hate hunting,1
225,52101,I don't want to work a normal job.,0
226,52106,I just ruined my moms life,-1
227,52098,I'm scared to join a union job,-1
228,52102,Had a beef hamburger yesterday for the first time in years and it literally felt like it was what my body desperately needed.,0
229,47193,removing my partners name off of our group project,0
230,47192,not tipping at a coffee shop I go to,0
231,47195,trying to strongly dissuade my gf from doing a Ph.d,0
232,47198,not turning on both sets of office lights when I come into work everyday,1
233,47194,liking a photo of Machine Gun Kelly and his girlfriend on Instagram,0
234,47201,using my ex for emotional support after surgery,0
235,47197,being frustrated with my sister over her poor life choices,1
236,47199,"going off on my Sister in Law, who struggles with mental illness and drug addiction",1
237,49498,calling my girlfriend dramatic about a medical thing,-1
238,49492,yelling at my sons teacher and tell him to leave my son tf alone in front of his classmates,-1
239,49501,not giving my friend $20,0
240,49499,excluding my coworker from lunch break activities,0
241,49495,not opening the door in an emergency situation,-1
242,49491,leaving my mother with her abuser,-1
243,49496,threatening to evict a tenet I manage,0
244,49490,not returning an elderly lady's 10 dollars,0
245,52123,my brother molested me for years through my young childhood,0
246,52122,I'd like to lose weight but I'm constantly hungry.,0
247,52121,i am a guy who when i was 13 years old I stole a purple thong from my sister and wore it under my sweatpants to school.,-1
248,52125,I just rage quit my job,-1
249,52128,I'm a 25 year old male. My uncle molested me dozens of times when I was a teenager. I secretly enjoyed it.,-1
250,52126,Real estate photos of house where I was molested,-1
251,52127,I’ve been hiding my period from my parents since I was 14. I’m 16 now and anytime I think about telling them my anxiety scares me to the point I don’t want to anymore.,1
252,52130,I only know the value of a czech crown because of public agent.,0
253,47229,ending a Christmas tradition,0
254,47220,not wanting to drive my sister home,0
255,47224,telling my future SIL's they are no longer bridesmaids at our wedding,0
256,47222,wishing my boyfriend Complimented me more,0
257,47230,asking my brother to start paying for this house,0
258,47226,not wanting my family at my sweet 16,-1
259,47221,cutting off one of my best friends when she needs me most,0
260,47225,not remembering people's coffee orders if they don't tip,0
261,49521,reporting a guy who dropped an I.O.U into the collection bin for money that pays for frozen food out of the freezer at work,-1
262,49527,leaving my friend when she was dealing with depression,1
263,49528,getting my boss fired for nepotism,-1
264,49520,not wanting to talk or see my dad again,1
265,49506,talking while jazz band playing a quieter song at a cafe,-1
266,49512,getting into a fight with my ma,0
267,49518,being upset at my boyfriend for telling an old co-worker where I now work,0
268,49509,denying my biological father contact with his grandchildren,-1
269,52137,I See Fat People.,0
