,uid,scenario,label
0,65441,not doing work around the house,1
1,65450,being creeped out by my mom checking my location,1
2,65446,not seeking help,1
3,65449,moving my coworkers food,0
4,65440,pretending to be a lesbian to get a guy hitting on me to go away,0
5,65439,storing guns below my tenants against their wishes,-1
6,65445,not immediately leaving the room when my roommate came in his his gf,-1
7,65443,using a blender early in the morning,-1
8,65523,blocking my best friend because she got jealous that I'm friends with her bf,1
9,65515,not wanting to watch films/tv shows with my girlfriend,1
10,65517,speaking up against a Bullying superior,1
11,65519,contacting my ex-boss with a photo of the employee handbooking stating why she wrongfully fired me,1
12,65521,"not letting someone in the room we used to share, but no longer do",1
13,65522,not renting out my spare room,0
14,65518,asking my gf of 3 years for nudes,0
15,65520,being upset/mad at my dad,0
16,65563,not forgiving my friend right away,-1
17,65557,not really wanting specific plans on my birthday,0
18,65559,sleeping with a girl (I've been with a few times before) when she's been snapchatting my friend in between,1
19,65560,not buying into my GF's preferred pronouns,-1
20,65564,compromising the stability of a friend group over my problems with an individual within it,1
21,65562,kicking my brothers and cousins out of my room,-1
22,65558,kissing and having strong feelings for my best friend's ex,1
23,65556,going against my parents wishes to go to study medicine,-1
24,65605,slapping my brother's face in front of his friends,0
25,65603,wanting to work by myself rather than with my special needs coworker,1
26,65606,disagreeing with my bi gf about lgbt rights,1
27,65599,having sex with a girl who is more interested in me than I am in her,0
28,65608,wanting to see my boyfriends text messages,1
29,65601,being pissed that my step daughter told us to keep it down in our bedroom,0
30,65602,not going to my great-grandfathers funeral,1
31,65604,cutting ties with my friend for feeling like he used me,1
32,65609,honking at drivers blocking the right lane,1
33,65612,telling my crush stop talking about his girlfriend,1
34,65614,refusing to serve a customer during the minutes silence for remembrance day,1
35,65615,wanting to cut ties with my dad,1
36,65616,talking while my roommate is trying to sleep,0
37,65613,taking property back that's mine,1
38,65610,playing games near an open casket,0
39,65611,asking my dad for money,-1
40,63510,"not being supportive of my friend whose dog is ill, right after my cat died",1
41,63508,liking my ex best friends ex girlfriend,1
42,63506,"defending my right to call myself an American, even if people from Southern/central american countries call me out for this",1
43,63513,letting go of the door when there's someone right behind me,1
44,63507,dating my sister in laws best friend and ruining their friendship,1
45,63509,calling a girl in my class fat,1
46,63511,making a Nabka/War of Independence Joke,1
47,63512,sending the pizza driver back for my drink,1
48,65643,"contacting my father I've never met, recently discovered through ancestry dna testing",1
49,65642,asking my brother not to bring his girlfriend to my birthday meal,0
50,65645,telling my bf that some things he says and/or does feels demeaning/degrading to me,0
51,65640,getting annoyed and yelling at my roomate,0
52,65638,exposing my mom in front of our family,0
53,65639,refusing to take pics of my daughter during dance class and keeping my mom away from class time,0
54,65641,waking my roommates up to pay rent,0
55,65637,exposing my ex to other girls,0
56,67633,I flip over test at the beginning to make everyone else not notice that I finished the first page first,0
57,67626,"I wanted to, when I turn 18, leave my family",1
58,67630,I'm an awkward idiot who should not text,-1
59,67628,"I am more upset about the stigma and drama surrounding a death, than the actual person dying.",0
60,67636,I have a disgusting and horrible fetish that I want to get rid of,0
61,67625,I hurt myself when I make a mistake.,1
62,67637,My boyfriend broke up with me so he could take time to himself and I didn't cry.,1
63,67624,"I think I'm depressed, but I've never been diagnosed or legitimately know if I am.",0
64,67651,I like to scam self-checkout machines,0
65,67647,I finally managed to get strangled by nerd thighs!,0
66,67658,I feel so embarrassed that I only have 50 Instagram followers,-1
67,67649,"Every time I see a woman in a niqab or burqa, I like to imagine I’m Harry Potter confronting a Dementor and say: “Expecto Patronum!”",-1
68,67648,"Im Stewart Paul Robb of knightsbridge company services a shill cutout for mi5 i look for Independent Journalists and Vloggers to give contracts to them to Shill and Spy for MI5 MI6 on the qt to push our vile agenda of disinfo and lies, I think im loseing my mind i have been found out.",-1
69,67653,I think i figured out what I'm going to do woth my life,1
70,67650,I feel responsible for my 5th grade teacher quitting her job.,0
71,67655,It’s really hard to pretend to “like” my boyfriend right now.,0
72,65682,asking my friend not to bring up anime in public,0
73,63539,"sharing a bed with, and getting to second base with a girl I'm not planning on dating",0
74,63543,planning to leave my job for a new one while promissing to stay,1
75,63541,pretending to be Bi,1
